change_article,change_id,new_article,treaty_nr,part_nr,title_nr,chapter_nr,section_nr,article_nr,new_id,remarks
Article 130c,3.3.14.X.X.130c,Article 160,3,3,17,X,X,160,NA,NA
Article 130d,3.3.14.X.X.130d,Article 161,3,3,17,X,X,161,NA,NA
Article 130e,3.3.14.X.X.130e,Article 162,3,3,17,X,X,162,NA,NA
Article 130f,3.3.15.X.X.130f,Article 163,3,3,18,X,X,163,NA,NA
Article 130g,3.3.15.X.X.130g,Article 164,3,3,18,X,X,164,NA,NA
Article 130h,3.3.15.X.X.130h,Article 165,3,3,18,X,X,165,NA,NA
Article 130i,3.3.15.X.X.130i,Article 166,3,3,18,X,X,166,NA,NA
Article 130j,3.3.15.X.X.130j,Article 167,3,3,18,X,X,167,NA,NA
Article 130k,3.3.15.X.X.130k,Article 168,3,3,18,X,X,168,NA,NA
Article 130l,3.3.15.X.X.130l,Article 169,3,3,18,X,X,169,NA,NA
Article 130m,3.3.15.X.X.130m,Article 170,3,3,18,X,X,170,NA,NA
Article 130n,3.3.15.X.X.130n,Article 171,3,3,18,X,X,171,NA,NA
Article 130o,3.3.15.X.X.130o,Article 172,3,3,18,X,X,172,NA,NA
Article 130p,3.3.15.X.X.130p,Article 173,3,3,18,X,X,173,NA,NA
Article 130r,3.3.16.X.X.130r,Article 174,3,3,19,X,X,174,NA,NA
Article 130s,3.3.16.X.X.130s,Article 175,3,3,19,X,X,175,NA,NA
Article 130t,3.3.16.X.X.130t,Article 176,3,3,19,X,X,176,NA,NA
Article 130u,3.3.17.X.X.130u,Article 177,3,3,20,X,X,177,NA,NA
Article 130v,3.3.17.X.X.130v,Article 178,3,3,20,X,X,178,NA,NA
Article 130w,3.3.17.X.X.130w,Article 179,3,3,20,X,X,179,NA,NA
Article 130x,3.3.17.X.X.130x,Article 180,3,3,20,X,X,180,NA,NA
Article 130y,3.3.17.X.X.130y,Article 181,3,3,20,X,X,181,NA,NA
Article 131,3.4.X.X.X.131,Article 182,3,4,X,X,X,182,NA,NA
Article 132,3.4.X.X.X.132,Article 183,3,4,X,X,X,183,NA,NA
Article 133,3.4.X.X.X.133,Article 184,3,4,X,X,X,184,NA,NA
Article 134,3.4.X.X.X.134,Article 185,3,4,X,X,X,185,NA,NA
Article 135,3.4.X.X.X.135,Article 186,3,4,X,X,X,186,NA,NA
Article 136,3.4.X.X.X.136,Article 187,3,4,X,X,X,187,NA,NA
Article 136a,NA,Article 188,3,4,X,X,X,188,NA,introduced by the Greenland Treaty
Article 137,3.5.1.1.1.137,Article 189,3,5,1,1,1,189,NA,NA
Article 138,3.5.1.1.1.138,Article 190,3,5,1,1,1,190,NA,NA
Article 138a,3.5.1.1.1.138a,Article 191,3,5,1,1,1,191,NA,NA
Article 138b,3.5.1.1.1.138b,Article 192,3,5,1,1,1,192,NA,NA
Article 138c,3.5.1.1.1.138c,Article 193,3,5,1,1,1,193,NA,NA
Article 138d,3.5.1.1.1.138d,Article 194,3,5,1,1,1,194,NA,NA
Article 138e,3.5.1.1.1.138e,Article 195,3,5,1,1,1,195,NA,NA
Article 139,3.5.1.1.1.139,Article 196,3,5,1,1,1,196,NA,NA
Article 140,3.5.1.1.1.140,Article 197,3,5,1,1,1,197,NA,NA
Article 141,3.5.1.1.1.141,Article 198,3,5,1,1,1,198,NA,NA
Article 142,3.5.1.1.1.142,Article 199,3,5,1,1,1,199,NA,NA
Article 143,3.5.1.1.1.143,Article 200,3,5,1,1,1,200,NA,NA
Article 144,3.5.1.1.1.144,Article 201,3,5,1,1,1,201,NA,NA
Article 145,3.5.1.1.2.145,Article 202,3,5,1,1,2,202,NA,NA
Article 146,3.5.1.1.2.146,Article 203,3,5,1,1,2,203,NA,NA
Article 147,3.5.1.1.2.147,Article 204,3,5,1,1,2,204,NA,NA
Article 148,3.5.1.1.2.148,Article 205,3,5,1,1,2,205,NA,NA
Article 150,3.5.1.1.2.150,Article 206,3,5,1,1,2,206,NA,NA
Article 151,3.5.1.1.2.151,Article 207,3,5,1,1,2,207,NA,NA
Article 152,3.5.1.1.2.152,Article 208,3,5,1,1,2,208,NA,NA
Article 153,3.5.1.1.2.153,Article 209,3,5,1,1,2,209,NA,NA
Article 154,3.5.1.1.2.154,Article 210,3,5,1,1,2,210,NA,NA
Article 155,3.5.1.1.3.155,Article 211,3,5,1,1,3,211,NA,NA
Article 156,3.5.1.1.3.156,Article 212,3,5,1,1,3,212,NA,NA
Article 157,3.5.1.1.3.157,Article 213,3,5,1,1,3,213,NA,NA
Article 158,3.5.1.1.3.158,Article 214,3,5,1,1,3,214,NA,NA
Article 159,3.5.1.1.3.159,Article 215,3,5,1,1,3,215,NA,NA
Article 160,3.5.1.1.3.160,Article 216,3,5,1,1,3,216,NA,NA
Article 161,3.5.1.1.3.161,Article 217,3,5,1,1,3,217,NA,NA
Article 162,3.5.1.1.3.162,Article 218,3,5,1,1,3,218,NA,NA
Article 163,3.5.1.1.3.162,Article 219,3,5,1,1,3,219,NA,NA
Article 164,3.5.1.1.4.164,Article 220,3,5,1,1,4,220,NA,NA
Article 165,3.5.1.1.4.165,Article 221,3,5,1,1,4,221,NA,NA
Article 166,3.5.1.1.4.166,Article 222,3,5,1,1,4,222,NA,NA
Article 167,3.5.1.1.4.167,Article 223,3,5,1,1,4,223,NA,NA
Article 168,3.5.1.1.4.168,Article 224,3,5,1,1,4,224,NA,NA
Article 168a,3.5.1.1.4.168a,Article 225,3,5,1,1,4,225,NA,NA
Article 169,3.5.1.1.4.169,Article 226,3,5,1,1,4,226,NA,NA
Article 170,3.5.1.1.4.170,Article 227,3,5,1,1,4,227,NA,NA
Article 171,3.5.1.1.4.171,Article 228,3,5,1,1,4,228,NA,NA
Article 172,3.5.1.1.4.172,Article 229,3,5,1,1,4,229,NA,NA
Article 173,3.5.1.1.4.173,Article 230,3,5,1,1,4,230,NA,NA
Article 174,3.5.1.1.4.174,Article 231,3,5,1,1,4,231,NA,NA
Article 175,3.5.1.1.4.175,Article 232,3,5,1,1,4,232,NA,NA
Article 176,3.5.1.1.4.176,Article 233,3,5,1,1,4,233,NA,NA
Article 177,3.5.1.1.4.177,Article 234,3,5,1,1,4,234,NA,NA
Article 178,3.5.1.1.4.178,Article 235,3,5,1,1,4,235,NA,NA
Article 179,3.5.1.1.4.179,Article 236,3,5,1,1,4,236,NA,NA
Article 180,3.5.1.1.4.180,Article 237,3,5,1,1,4,237,NA,NA
Article 181,3.5.1.1.4.181,Article 238,3,5,1,1,4,238,NA,NA
Article 182,3.5.1.1.4.182,Article 239,3,5,1,1,4,239,NA,NA
Article 183,3.5.1.1.4.183,Article 240,3,5,1,1,4,240,NA,NA
Article 184,3.5.1.1.4.184,Article 241,3,5,1,1,4,241,NA,NA
Article 185,3.5.1.1.4.185,Article 242,3,5,1,1,4,242,NA,NA
Article 186,3.5.1.1.4.186,Article 243,3,5,1,1,4,243,NA,NA
Article 187,3.5.1.1.4.187,Article 244,3,5,1,1,4,244,NA,NA
Article 188,3.5.1.1.4.188,Article 245,3,5,1,1,4,245,NA,NA
Article 188a,3.5.1.1.5.188a,Article 246,3,5,1,1,5,246,NA,NA
Article 188b,3.5.1.1.5.188b,Article 247,3,5,1,1,5,247,NA,NA
Article 188c,3.5.1.1.5.188c,Article 248,3,5,1,1,5,248,NA,NA
Article 189,3.5.1.2.X.189,Article 249,3,5,1,2,X,249,NA,NA
Article 189a,3.5.1.2.X.189a,Article 250,3,5,1,2,X,250,NA,NA
Article 189b,3.5.1.2.X.189b,Article 251,3,5,1,2,X,251,NA,NA
Article 189c,3.5.1.2.X.189c,Article 252,3,5,1,2,X,252,NA,NA
Article 190,3.5.1.2.X.190,Article 253,3,5,1,2,X,253,NA,NA
Article 191,3.5.1.2.X.191,Article 254,3,5,1,2,X,254,NA,NA
Article 191a,3.5.1.2.X.191a,Article 255,3,5,1,2,X,255,NA,NA
Article 192,3.5.1.2.X.192,Article 256,3,5,1,2,X,256,NA,New Article introduced by the Treaty of Amsterdam
Article 193,3.5.1.3.X.193,Article 257,3,5,1,3,X,257,NA,NA
Article 194,3.5.1.3.X.194,Article 258,3,5,1,3,X,258,NA,NA
Article 195,3.5.1.3.X.195,Article 259,3,5,1,3,X,259,NA,NA
Article 196,3.5.1.3.X.196,Article 260,3,5,1,3,X,260,NA,NA
Article 197,3.5.1.3.X.197,Article 261,3,5,1,3,X,261,NA,NA
Article 198,3.5.1.3.X.198,Article 262,3,5,1,3,X,262,NA,NA
Article 198a,3.5.1.4.X.198a,Article 263,3,5,1,4,X,263,NA,NA
Article 198b,3.5.1.4.X.198b,Article 264,3,5,1,4,X,264,NA,NA
Article 198c,3.5.1.4.X.198c,Article 265,3,5,1,4,X,265,NA,NA
Article 198d,3.5.1.5.X.198d,Article 266,3,5,1,5,X,266,NA,NA
Article 198e,3.5.1.5.X.198e,Article 267,3,5,1,5,X,267,NA,NA
Article 199,3.5.2.X.X.199,Article 268,3,5,2,X,X,268,NA,NA
Article 201,3.5.2.X.X.201,Article 269,3,5,2,X,X,269,NA,NA
Article 201a,3.5.2.X.X.201a,Article 270,3,5,2,X,X,270,NA,NA
